"RESPONDED_SURVEY","RESIDENT","EVAL_MAJOR","COLLEGE_CODE1","COLLEGE_NAME1","MAJOR_CODE1","COLLEGE_CODE2","COLLEGE_NAME2","MAJOR_CODE2","SP16_ENRL_HRS_AT_CENSUS","SP16_TERM_UI_GRADED._HRS","SP16_TERM_UI_TOTAL_HOURS","ACT","ACTE","ACTM","ACTR","ACTS","AGE","DECLINETOSTATE","ETHNICITY_LOC","GENDER","HSRANK","Semester.Hours","TERM1","TOTAL_UNITS","WHITE","HS_PERCENTILE_RANK","IS_PARENT_HIGHER_ED_GRAD","TFC_LEVEL","TFC_LEVEL_GRAD","TFC_MOD_ASSIGN2015","TFC_INVITED_PREVIOUS","TFC_NONRESIDENT","TFC_STATUS","TFC_YEAR"
"Y","Y","N","A","College of Liberal Arts and Sciences","CLIN_LAB_SCI_INT","A","College of Liberal Arts and Sciences","PRE_MED",16,16,16,28,27,26,29,30,19,NA,"White, not of Hispanic or Latino(a) origin","F",81,13,2,44,"Y",81,"N","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","SOC_WK",NA,NA,NA,12,4,12,NA,NA,NA,NA,NA,22,NA,"Hispanic or Latino(a)","F",95,76,2,146,NA,95,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH","A","College of Liberal Arts and Sciences","CHEM",13,13,13,30,30,29,30,32,22,NA,"White, not of Hispanic or Latino(a) origin","M",NA,100,2,114,"Y",NA,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,15,10,12,28,28,25,34,24,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,16,2,27,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","JRNL_MC",NA,NA,NA,16,12,12,27,26,23,31,26,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,43,2,44,"Y",NA,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","N","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",NA,NA,NA,16,14,16,30,28,27,32,32,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,NA,4,NA,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY",NA,NA,NA,16,14,16,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","F",NA,42,2,46,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PHYSICS",NA,NA,NA,14,14,14,30,24,34,31,32,18,NA,"White, not of Hispanic or Latino(a) origin","M",100,13,2,71,"Y",100,"N","(2,3]","(2,3]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,15,11,12,19,21,20,18,18,19,NA,"White, not of Hispanic or Latino(a) origin","M",56,16,2,18,"Y",56,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,17,13,17,24,25,26,20,23,21,NA,"White, not of Hispanic or Latino(a) origin","F",70,90,2,111.5,"Y",70,"N","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","N","Y","N","College of Nursing","NURS",NA,NA,NA,16,16,16,32,32,30,31,33,18,NA,"White, not of Hispanic or Latino(a) origin","F",88,16,2,25,"Y",88,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,11,11,11,23,23,24,23,20,20,NA,"White, not of Hispanic or Latino(a) origin","M",43,37,2,44,"Y",43,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,15,15,15,30,34,29,30,27,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,42,2,67,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","B","Tippie College of Business","BUSN_ANALYTICS_INFO_SYS",NA,NA,NA,12,12,12,24,22,23,25,25,20,NA,"White, not of Hispanic or Latino(a) origin","M",74,40,2,59,"Y",74,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,17,17,17,27,26,26,28,27,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,13,2,16,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,13,13,13,20,21,19,18,20,19,NA,"White, not of Hispanic or Latino(a) origin","F",89,39,2,66,"Y",89,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","INTL_STDS",NA,NA,NA,18,17,15,NA,NA,NA,NA,NA,23,NA,"Nonresident Alien","F",NA,85,4,102,NA,NA,NA,"(3,4]","(4,5]","(3,5]","(0,1]","[1,1]","(1,2]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","BIOLOGY",NA,NA,NA,17,14,14,NA,NA,NA,NA,NA,21,NA,"Nonresident Alien","M",NA,13,2,50,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","(1,2]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","COMM","A","College of Liberal Arts and Sciences","THEATRE_ARTS",18,15,13,34,32,31,36,35,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,94,2,131,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,14,13,14,26,25,28,23,29,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,49,1,52,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","SOCIOL",NA,NA,NA,15,15,15,23,24,22,22,22,19,NA,"Hispanic or Latino(a)","F",95,35,2,64,NA,95,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","DANCE","A","College of Liberal Arts and Sciences","PSYCH",13,14,15,24,25,24,22,24,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,50,2,88.5,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"Y","Y","Y","B","Tippie College of Business","FINANCE","B","Tippie College of Business","MGMT",16,14,16,24,22,23,25,24,21,NA,"White, not of Hispanic or Latino(a) origin","M",91,58,1,112,"Y",91,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2009,2010]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS","A","College of Liberal Arts and Sciences","RAD_SCI_INT",14,13,14,NA,NA,NA,NA,NA,21,NA,"White, not of Hispanic or Latino(a) origin","F",65,40,2,86.5,"Y",65,"N","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,12,7,7,22,21,22,23,20,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,29,2,49,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,14,14,14,25,21,24,30,24,18,NA,"White, not of Hispanic or Latino(a) origin","M",93,14,2,29,"Y",93,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","LEIS_STDS",NA,NA,NA,15,15,15,26,26,22,27,27,20,NA,"White, not of Hispanic or Latino(a) origin","F",84,41,2,75,"Y",84,"N","(2,3]","(2,3]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","ECON",NA,NA,NA,16,14,18,NA,NA,NA,NA,NA,23,NA,"Nonresident Alien","M",NA,89,2,102,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","BIOCHEM","A","College of Liberal Arts and Sciences","PRE_MED",14,14,14,22,20,18,28,22,22,NA,"African American or Black","F",NA,106,2,109,NA,NA,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,17,15,16,NA,NA,NA,NA,NA,23,NA,"Nonresident Alien","M",NA,84,2,101,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]","[1,1]","[1,1]","(2010,2011]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,10,8,23,23,22,24,22,19,NA,"White, not of Hispanic or Latino(a) origin","M",63,8,2,12,"Y",63,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PHIL",NA,NA,NA,15,15,15,28,30,27,25,28,20,NA,"White, not of Hispanic or Latino(a) origin","M",93,45,2,61,"Y",93,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","INTL_STDS",NA,NA,NA,14,14,14,24,28,28,20,19,23,NA,"Nonresident Alien","M",NA,39,2,69,NA,NA,NA,"(2,3]","(2,3]","(3,5]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","ECON","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",18,15,18,NA,NA,NA,NA,NA,18,NA,"Nonresident Alien","M",NA,15,2,16,NA,NA,NA,"[1,1]","[1,1]","(3,5]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",15,14,12,27,23,27,29,28,20,NA,"White, not of Hispanic or Latino(a) origin","M",51,40,2,40,"Y",51,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","F",NA,95,2,106,NA,NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","INTL_STDS",NA,NA,NA,17,12,7,NA,NA,NA,NA,NA,23,NA,"Nonresident Alien","M",NA,55,2,51,NA,NA,NA,"(1,2]","(1,2]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"Y","Y","Y","B","Tippie College of Business","FINANCE","B","Tippie College of Business","ECON",15,15,15,25,29,24,26,21,22,"Y","Race and Ethnicity unknown","M",67,61,2,106,NA,67,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","E","College of Engineering","ELEC_ENGR",NA,NA,NA,12,12,12,34,34,34,33,36,20,NA,"White, not of Hispanic or Latino(a) origin","M",96,83,2,103,"Y",96,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,13,12,13,23,21,24,24,23,22,NA,"White, not of Hispanic or Latino(a) origin","M",74,85,2,107,"Y",74,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMM","A","College of Liberal Arts and Sciences","JRNL_MC",0,NA,NA,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","M",NA,NA,2,NA,NA,NA,NA,"[1,1]","[1,1]","[3,3]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ART",NA,NA,NA,8,8,7,24,24,27,21,23,25,NA,"White, not of Hispanic or Latino(a) origin","M",86,59,2,119,"Y",NA,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2008,2009]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ANTH",NA,NA,NA,12,12,12,20,18,23,18,20,22,NA,"Hispanic or Latino(a)","F",NA,61,2,99,NA,NA,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"(1,2]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,14,14,14,21,20,25,17,22,18,NA,"White, not of Hispanic or Latino(a) origin","M",87,13,1,50,"Y",87,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,17,15,17,24,26,26,21,27,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,74,2,82,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","N","Y","E","College of Engineering","BIOMED_ENGR",NA,NA,NA,19,19,19,29,33,33,24,27,21,NA,"White, not of Hispanic or Latino(a) origin","F",73,102,2,126,"Y",73,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","N","Y","A","College of Liberal Arts and Sciences","ATHL_TNG","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",12,12,12,24,26,26,21,24,22,NA,"White, not of Hispanic or Latino(a) origin","F",96,108,2,123,"Y",96,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","JRNL_MC",NA,NA,NA,12,11,12,25,21,24,29,24,22,NA,"Hispanic or Latino(a)","F",81,89,2,111,NA,81,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","SPEECH_HEAR_SCI",NA,NA,NA,13,11,12,24,24,26,21,24,18,NA,"Asian","F",NA,10,2,19,NA,NA,"N","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,15,13,15,25,26,21,25,26,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,13,2,15,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,6,4,6,24,24,23,28,20,19,NA,"White, not of Hispanic or Latino(a) origin","M",44,3,2,12,"Y",44,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,16,16,NA,NA,NA,NA,NA,20,NA,"Asian","M",NA,11,2,13,NA,NA,"N","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","POL_SCI","A","College of Liberal Arts and Sciences","PRE_LAW",15,15,15,31,34,28,32,31,20,NA,"White, not of Hispanic or Latino(a) origin","M",99,44,2,58,"Y",99,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","BIOLOGY","A","College of Liberal Arts and Sciences","DANCE_INT",15,15,15,22,23,18,23,22,18,NA,"African American or Black","F",85,13,2,18,NA,85,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,14,12,14,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","M",NA,46,2,68,NA,NA,NA,"(2,3]","(2,3]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"Y","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,19,19,19,27,28,26,27,28,21,NA,"White, not of Hispanic or Latino(a) origin","F",53,77,2,81,"Y",53,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","MUSIC","A","College of Liberal Arts and Sciences","SEC_EDUC_INT",12,12,12,29,31,31,25,27,21,NA,"White, not of Hispanic or Latino(a) origin","F",82,113,2,116,"Y",82,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",12,9,9,NA,NA,NA,NA,NA,24,NA,"White, not of Hispanic or Latino(a) origin","M",NA,33,4,90,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"Y","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",14,14,14,26,28,28,22,24,21,NA,"Hispanic or Latino(a)","F",NA,76,2,79,NA,NA,"N","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","SOCIOL",NA,NA,NA,13,6,6,NA,NA,NA,NA,NA,28,NA,"White, not of Hispanic or Latino(a) origin","M",NA,8,2,66,"Y",NA,"N","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"Y","Y","N","A","College of Liberal Arts and Sciences","PHAR_INT",NA,NA,NA,12,11,12,28,27,26,33,24,19,NA,"White, not of Hispanic or Latino(a) origin","F",90,42,2,60,"Y",90,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,15,13,15,29,32,23,33,27,19,NA,"White, not of Hispanic or Latino(a) origin","F",92,13,2,31,"Y",92,NA,"(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","ENTERPRISE_LEADERSHIP",NA,NA,NA,17,14,11,30,28,30,32,31,20,NA,"White, not of Hispanic or Latino(a) origin","M",95,31,2,61,"Y",95,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,15,15,15,25,26,22,27,24,19,NA,"White, not of Hispanic or Latino(a) origin","F",59,40,2,49,"Y",59,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,14,12,13,23,22,22,24,24,20,NA,"White, not of Hispanic or Latino(a) origin","F",88,76,2,79,"Y",88,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,15,13,15,NA,NA,NA,NA,NA,21,NA,"Nonresident Alien","M",NA,56,4,81,NA,NA,NA,"(2,3]","(2,3]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","INTD_STDS","A","College of Liberal Arts and Sciences","FREN",12,12,12,NA,NA,NA,NA,NA,32,NA,"White, not of Hispanic or Latino(a) origin","M",NA,117,2,114,"Y",NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2001,2002]"
"N","Y","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,14,12,14,19,15,22,17,20,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,12,2,74,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,15,15,15,25,24,23,28,25,20,NA,"Hispanic or Latino(a)","F",79,76,2,79,NA,79,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","E","College of Engineering","BIOMED_ENGR",NA,NA,NA,16,15,16,33,34,29,35,32,19,NA,"White, not of Hispanic or Latino(a) origin","F",98,13,2,35,"Y",98,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","ELEM_EDUC_INT_CLAS",NA,NA,NA,16,15,16,21,22,18,21,21,18,NA,"White, not of Hispanic or Latino(a) origin","F",NA,8,2,12,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","MATH",NA,NA,NA,13,13,13,31,31,33,30,28,21,NA,"White, not of Hispanic or Latino(a) origin","F",92,85,2,105,"Y",92,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ECON","A","College of Liberal Arts and Sciences","PRE_LAW",14,14,14,20,22,16,22,20,19,NA,"White, not of Hispanic or Latino(a) origin","F",39,13,2,20,"Y",39,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,19,16,13,31,32,29,31,33,19,NA,"White, not of Hispanic or Latino(a) origin","F",96,16,2,20,"Y",96,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","SPEECH_HEAR_SCI",NA,NA,NA,15,15,15,27,33,22,32,22,21,NA,"Multi-Racial","F",92,68,2,77,"Y",92,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,15,15,15,27,27,27,25,30,22,NA,"White, not of Hispanic or Latino(a) origin","M",NA,100,2,111,"Y",NA,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","E","College of Engineering","IND_ENGR",NA,NA,NA,18,15,15,20,16,24,18,23,19,NA,"White, not of Hispanic or Latino(a) origin","M",86,15,2,38,"Y",86,"N","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","GEOS",NA,NA,NA,16,16,16,18,17,20,16,19,22,NA,"White, not of Hispanic or Latino(a) origin","M",45,41,2,85,"Y",45,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ELEM_EDUC",NA,NA,NA,16,15,16,32,33,33,31,32,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,77,2,138,"Y",NA,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","N","Y","A","College of Liberal Arts and Sciences","SPORT_REC_MGMT",NA,NA,NA,15,12,15,26,25,26,28,23,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,61,2,57,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","FREN","A","College of Liberal Arts and Sciences","ENGL",18,18,18,NA,NA,NA,NA,NA,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,88,2,115,"Y",NA,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,16,16,14,27,30,26,26,27,19,NA,"White, not of Hispanic or Latino(a) origin","M",66,14,2,21,"Y",66,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,12,12,12,27,28,24,31,25,21,NA,"White, not of Hispanic or Latino(a) origin","M",43,100,2,118,"Y",43,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,15,11,12,28,27,25,31,29,19,NA,"Asian","M",NA,13,2,15,NA,NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","B","Tippie College of Business","MKTG","B","Tippie College of Business","MGMT",16,12,16,31,34,30,30,28,20,NA,"White, not of Hispanic or Latino(a) origin","F",98,45,2,93,"Y",98,"Y","(3,4]","(3,4]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","ENGL","A","College of Liberal Arts and Sciences","SEC_EDUC_INT",14,14,14,28,28,26,26,30,21,NA,"White, not of Hispanic or Latino(a) origin","M",75,64,2,74,"Y",75,"N","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",16,16,16,26,28,24,24,26,19,NA,"Hispanic or Latino(a)","F",95,11,2,21,NA,95,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","N","College of Nursing","NURS",NA,NA,NA,14,10,14,21,22,16,26,19,21,NA,"Hispanic or Latino(a)","F",67,95,2,109,NA,67,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","E","College of Engineering","ELEC_ENGR","A","College of Liberal Arts and Sciences","MATH",16,16,16,32,33,28,32,34,20,NA,"White, not of Hispanic or Latino(a) origin","M",91,49,2,63,"Y",91,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","JRNL_MC",NA,NA,NA,14,14,14,22,22,20,21,23,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,63,2,58,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","SPORT_REC_MGMT","A","College of Liberal Arts and Sciences","JRNL_MC",11,11,11,24,24,26,24,20,22,NA,"White, not of Hispanic or Latino(a) origin","M",31,110,2,117,"Y",31,"N","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
